Date,Value
2011-08-19T15:00:00.000-08:00,0.844
2011-08-19T16:00:00.000-08:00,0.844
2011-08-19T17:00:00.000-08:00,0.844
2011-08-19T18:00:00.000-08:00,0.844
2011-08-19T19:00:00.000-08:00,0.844
2011-08-19T20:00:00.000-08:00,0.843
2011-08-19T21:00:00.000-08:00,0.842
2011-08-19T22:00:00.000-08:00,0.841
2011-08-19T23:00:00.000-08:00,0.840
2011-08-20T00:00:00.000-08:00,0.840
2011-08-20T01:00:00.000-08:00,0.839
2011-08-20T02:00:00.000-08:00,0.838
2011-08-20T03:00:00.000-08:00,0.836
2011-08-20T04:00:00.000-08:00,0.833
2011-08-20T05:00:00.000-08:00,0.831
2011-08-20T06:00:00.000-08:00,0.830
2011-08-20T07:00:00.000-08:00,0.828
2011-08-20T08:00:00.000-08:00,0.827
2011-08-20T09:00:00.000-08:00,0.827
2011-08-20T10:00:00.000-08:00,0.827
2011-08-20T11:00:00.000-08:00,0.827
2011-08-20T12:00:00.000-08:00,0.827
2011-08-20T13:00:00.000-08:00,0.827
2011-08-20T14:00:00.000-08:00,0.828
2011-08-20T15:00:00.000-08:00,0.829
2011-08-20T16:00:00.000-08:00,0.830
2011-08-20T17:00:00.000-08:00,0.831
2011-08-20T18:00:00.000-08:00,0.831
2011-08-20T19:00:00.000-08:00,0.831
2011-08-20T20:00:00.000-08:00,0.831
2011-08-20T21:00:00.000-08:00,0.831
2011-08-20T22:00:00.000-08:00,0.831
2011-08-20T23:00:00.000-08:00,0.831
2011-08-21T00:00:00.000-08:00,0.831
2011-08-21T01:00:00.000-08:00,0.831
2011-08-21T02:00:00.000-08:00,0.831
2011-08-21T03:00:00.000-08:00,0.830
2011-08-21T04:00:00.000-08:00,0.830
2011-08-21T05:00:00.000-08:00,0.829
2011-08-21T06:00:00.000-08:00,0.827
2011-08-21T07:00:00.000-08:00,0.826
2011-08-21T08:00:00.000-08:00,0.826
2011-08-21T09:00:00.000-08:00,0.825
2011-08-21T10:00:00.000-08:00,0.825
2011-08-21T11:00:00.000-08:00,0.825
2011-08-21T12:00:00.000-08:00,0.826
2011-08-21T13:00:00.000-08:00,0.827
2011-08-21T14:00:00.000-08:00,0.828
2011-08-21T15:00:00.000-08:00,0.828
2011-08-21T16:00:00.000-08:00,0.828
2011-08-21T17:00:00.000-08:00,0.828
2011-08-21T18:00:00.000-08:00,0.828
2011-08-21T19:00:00.000-08:00,0.828
2011-08-21T20:00:00.000-08:00,0.828
2011-08-21T21:00:00.000-08:00,0.827
2011-08-21T22:00:00.000-08:00,0.827
2011-08-21T23:00:00.000-08:00,0.827
2011-08-22T00:00:00.000-08:00,0.827
2011-08-22T01:00:00.000-08:00,0.827
2011-08-22T02:00:00.000-08:00,0.826
2011-08-22T03:00:00.000-08:00,0.826
2011-08-22T04:00:00.000-08:00,0.824
2011-08-22T05:00:00.000-08:00,0.823
2011-08-22T06:00:00.000-08:00,0.822
2011-08-22T07:00:00.000-08:00,0.821
2011-08-22T08:00:00.000-08:00,0.821
2011-08-22T09:00:00.000-08:00,0.821
2011-08-22T10:00:00.000-08:00,0.821
2011-08-22T11:00:00.000-08:00,0.822
2011-08-22T12:00:00.000-08:00,0.823
2011-08-22T13:00:00.000-08:00,0.825
2011-08-22T14:00:00.000-08:00,0.827
2011-08-22T15:00:00.000-08:00,0.829
2011-08-22T16:00:00.000-08:00,0.831
2011-08-22T17:00:00.000-08:00,0.832
2011-08-22T18:00:00.000-08:00,0.835
2011-08-22T19:00:00.000-08:00,0.839
2011-08-22T20:00:00.000-08:00,0.843
2011-08-22T21:00:00.000-08:00,0.845
2011-08-22T22:00:00.000-08:00,0.847
2011-08-22T23:00:00.000-08:00,0.847
2011-08-23T00:00:00.000-08:00,0.846
2011-08-23T01:00:00.000-08:00,0.844
2011-08-23T02:00:00.000-08:00,0.841
2011-08-23T03:00:00.000-08:00,0.838
2011-08-23T04:00:00.000-08:00,0.835
2011-08-23T05:00:00.000-08:00,0.831
2011-08-23T06:00:00.000-08:00,0.828
2011-08-23T07:00:00.000-08:00,0.826
2011-08-23T08:00:00.000-08:00,0.823
2011-08-23T09:00:00.000-08:00,0.821
2011-08-23T10:00:00.000-08:00,0.819
2011-08-23T11:00:00.000-08:00,0.817
2011-08-23T12:00:00.000-08:00,0.816
2011-08-23T13:00:00.000-08:00,0.815
2011-08-23T14:00:00.000-08:00,0.813
2011-08-23T15:00:00.000-08:00,0.813
2011-08-23T16:00:00.000-08:00,0.813
2011-08-23T17:00:00.000-08:00,0.813
2011-08-23T18:00:00.000-08:00,0.813
2011-08-23T19:00:00.000-08:00,0.812
2011-08-23T20:00:00.000-08:00,0.812
2011-08-23T21:00:00.000-08:00,0.812
2011-08-23T22:00:00.000-08:00,0.812
2011-08-23T23:00:00.000-08:00,0.812
2011-08-24T00:00:00.000-08:00,0.812
2011-08-24T01:00:00.000-08:00,0.812
2011-08-24T02:00:00.000-08:00,0.812
2011-08-24T03:00:00.000-08:00,0.812
2011-08-24T04:00:00.000-08:00,0.811
2011-08-24T05:00:00.000-08:00,0.809
2011-08-24T06:00:00.000-08:00,0.807
2011-08-24T07:00:00.000-08:00,0.805
2011-08-24T08:00:00.000-08:00,0.803
2011-08-24T09:00:00.000-08:00,0.801
2011-08-24T10:00:00.000-08:00,0.800
2011-08-24T11:00:00.000-08:00,0.799
2011-08-24T12:00:00.000-08:00,0.798
2011-08-24T13:00:00.000-08:00,0.798
2011-08-24T14:00:00.000-08:00,0.797
2011-08-24T15:00:00.000-08:00,0.797
2011-08-24T16:00:00.000-08:00,0.797
2011-08-24T17:00:00.000-08:00,0.798
2011-08-24T18:00:00.000-08:00,0.799
2011-08-24T19:00:00.000-08:00,0.800
2011-08-24T20:00:00.000-08:00,0.801
2011-08-24T21:00:00.000-08:00,0.801
2011-08-24T22:00:00.000-08:00,0.802
2011-08-24T23:00:00.000-08:00,0.802
2011-08-25T00:00:00.000-08:00,0.803
2011-08-25T01:00:00.000-08:00,0.803
2011-08-25T02:00:00.000-08:00,0.803
2011-08-25T03:00:00.000-08:00,0.803
2011-08-25T04:00:00.000-08:00,0.802
2011-08-25T05:00:00.000-08:00,0.801
2011-08-25T06:00:00.000-08:00,0.801
2011-08-25T07:00:00.000-08:00,0.799
2011-08-25T08:00:00.000-08:00,0.798
2011-08-25T09:00:00.000-08:00,0.797
2011-08-25T10:00:00.000-08:00,0.796
2011-08-25T11:00:00.000-08:00,0.795
2011-08-25T12:00:00.000-08:00,0.803
2011-08-25T13:00:00.000-08:00,0.803
2011-08-25T14:00:00.000-08:00,0.808
2011-08-25T15:00:00.000-08:00,0.817
2011-08-25T16:00:00.000-08:00,0.827
2011-08-25T17:00:00.000-08:00,0.833
2011-08-25T18:00:00.000-08:00,0.838
2011-08-25T19:00:00.000-08:00,0.839
2011-08-25T20:00:00.000-08:00,0.839
2011-08-25T21:00:00.000-08:00,0.839
2011-08-25T22:00:00.000-08:00,0.839
2011-08-25T23:00:00.000-08:00,0.839
2011-08-26T00:00:00.000-08:00,0.837
2011-08-26T01:00:00.000-08:00,0.836
2011-08-26T02:00:00.000-08:00,0.833
2011-08-26T03:00:00.000-08:00,0.832
2011-08-26T04:00:00.000-08:00,0.830
2011-08-26T05:00:00.000-08:00,0.828
2011-08-26T06:00:00.000-08:00,0.827
2011-08-26T07:00:00.000-08:00,0.825
2011-08-26T08:00:00.000-08:00,0.823
2011-08-26T09:00:00.000-08:00,0.823
2011-08-26T10:00:00.000-08:00,0.822
2011-08-26T11:00:00.000-08:00,0.824
2011-08-26T12:00:00.000-08:00,0.829
2011-08-26T13:00:00.000-08:00,0.839
